	shopname	address	phone	website	longitude	latitude
17	Vaughn, James	7095 Hollywood Blvd # 714, Los Angeles, CA 90028	(323) 436-2800	not found	-118.3450281	34.1018904
18	Tom N Toms	621 S Western Ave, Suite 101, Los Angeles, CA 90005	(213) 381-7271	http://en.tomntoms.com	-118.3094718	34.0627014
19	Nature Leaf Cafe	113 E 9th St, Los Angeles, CA 90015	(213) 627-3535	not found	-118.254529	34.0413199
20	Java Twist	3540 Wilshire Blvd, Los Angeles, CA 90010	(213) 383-3999	http://www.javatwistla.com	-118.3016824	34.0610127
21	Ramma Geni Cafe	8500 Melrose Ave Ste 106, West Hollywood, CA 90069	(310) 855-1777	not found	-118.3768899	34.0816999
22	Hard Rock Hollywood	6801 Hollywood Blvd, Los Angeles, CA 90028	(323) 960-9283	not found	-118.3399805	34.1026077
23	Roaster Family Coffee	521 W Main St, Alhambra, CA 91801	(626) 282-8879	not found	-118.1327324	34.0926603
24	Starbucks Coffee	164 N Robertson Blvd, West Hollywood, CA 90048	(310) 659-7370	http://www.starbucks.com	-118.3834986	34.0769832
25	Begins Cafe Catering & Food Service	100 S Main St, Los Angeles, CA 90012	(213) 620-9565	http://www.beginscafe.com	-118.2435949	34.0511451
26	Helio Cafe	710 N Heliotrope Dr, Los Angeles, CA 90029	(323) 662-2302	not found	-118.2946972	34.0839914
27	Starbucks Coffee	311 W Los Feliz Rd, Glendale, CA 91204	(818) 246-7161	http://www.starbucks.com	-118.2586048	34.1294715
28	Universal Coffee	3460 E Olympic Blvd, Los Angeles, CA 90023	(323) 268-1579	not found	-118.2030155	34.0185983
29	Mocha Kiss Coffee	920 N Formosa Ave, Los Angeles, CA 90046	(323) 512-9800	http://mochakiss.com	-118.345848	34.087857
30	Omni Herb	3250 W Olympic Blvd Suite305, Los Angeles, CA 90006	(323) 766-7798	not found	-118.3085165	34.0522327
31	Starbucks Coffee	8480 Beverly Blvd, Los Angeles, CA 90048	(323) 602-0637	http://www.starbucks.com	-118.37559	34.07523
32	Specialty&#39s	2121 Avenue Of The Stars, Los Angeles, CA 90067	(877) 502-2837	http://www.specialtys.com	-118.4132642	34.0552232
33	seasons cafe	1234 Wilshire Blvd #440, Los Angeles, CA 90017	(323) 919-9359	http://seasonscafekt.wix.com/cafe	-118.2659832	34.0531293
34	Starbucks Coffee	505 S Flower St, Los Angeles, CA 90071	(213) 622-4493	http://www.starbucks.com	-118.2566062	34.0514473
35	Viztango Cafe	3017 S Figueroa St, Los Angeles, CA 90007	(213) 745-8050	not found	-118.2786331	34.0248567
36	Dong Lai Shun	501 W Garvey Ave, Monterey Park, CA 91754	(626) 576-8028	not found	-118.129612	34.062744
37	First Cup Caffe	333 S Spring St, Los Angeles, CA 90013	(213) 687-6603	not found	-118.2479591	34.0497243
38	Red Dragon	860 N Vermont Ave, Los Angeles, CA 90029	(213) 453-2411	http://reddragoncafe.com	-118.2914569	34.0870587
39	Jones Coffee Roasters	693 S Raymond Ave, Pasadena, CA 91105	(626) 564-9291	not found	-118.1492671	34.1337886
40	Taistee Coffee Shop	6200 Wilshire Blvd, Los Angeles, CA 90048	(323) 935-9566	not found	-118.3635999	34.0629729
41	Beachwood Cafe	2695 N Beachwood Dr, Los Angeles, CA 90068	(323) 871-1717	http://beachwoodcafe.com	-118.3213137	34.1198901
42	Winchell&#39s Donuts	2501 S San Pedro St, Los Angeles, CA 90011	(213) 745-9038	http://www.winchells.com	-118.2609609	34.0225196
43	Le Cafe Bonjour	640 S Hill St, Los Angeles, CA 90014	(213) 670-0100	http://www.lecafebonjour.com	-118.253515	34.0464163
44	Panini Cafe	8054 W 3rd St, Los Angeles, CA 90048	(323) 951-1900	http://mypaninicafe.com	-118.3656739	34.0719585
45	Blu Jam Cafe	7371 Melrose Ave, Los Angeles, CA 90046	(323) 951-9191	http://www.blujamcafe.com	-118.3505539	34.0837459
46	Basix Cafe	8333 Santa Monica Blvd, West Hollywood, CA 90069	(323) 848-2460	http://www.basixcafe.com	-118.371375	34.0909326
47	Barako Coffee Bean	4716 Fountain Ave, Los Angeles, CA 90029	(323) 665-7378	not found	-118.2921006	34.0955388
48	Euro Caffe	8833 W Sunset Blvd, West Hollywood, CA 90069	(310) 289-5900	http://www.eurocaffebh.com	-118.3841728	34.0909191
49	Healthy Bean	8470 Santa Monica Blvd, West Hollywood, CA 90069	(323) 848-9401	http://www.thehealthybean.com	-118.3756666	34.0895613
50	Kitchen 24	1608 N Cahuenga Blvd, Los Angeles, CA 90028	(323) 465-2424	not found	-118.3292464	34.1001191
51	Verve Cafe	8925 Melrose Ave, West Hollywood, CA 90069	(310) 385-9605	not found	-118.3875758	34.0809374
52	Winchell&#39s Donuts	8567 S Broadway, Los Angeles, CA 90003	(323) 758-2372	http://www.winchells.com	-118.278281	33.96005
53	Caffe Bene	3287 Wilshire Blvd, Los Angeles, CA 90010	(213) 384-3723	http://www.caffebene.com	-118.2939282	34.062045
54	Cacao Coffee House	11609 Santa Monica Blvd, Los Angeles, CA 90025	(310) 473-7283	http://cacaocoffeehouse.com	-118.4542998	34.0445427
55	Feed All Cafe	8687 Melrose Ave, West Hollywood, CA 90069	(310) 360-0779	not found	-118.3823838	34.082157
56	Starbucks Coffee	3118 S Sepulveda Blvd, Los Angeles, CA 90034	(310) 477-8717	http://www.starbucks.com	-118.4269654	34.0265812
57	Alfred Coffee	11908 San Vicente Blvd, Los Angeles, CA 90049	(310) 826-4627	http://alfredcoffee.com	-118.4706548	34.0525122
58	Creme Cafe	251 N Vermont Ave, Los Angeles, CA 90004	(213) 738-5002	not found	-118.2919366	34.0760055
59	Yum-Yum Donuts	700 Vine St, Los Angeles, CA 90038	(323) 467-6773	http://www.yumyumdonuts.com	-118.3264301	34.0836735
60	The Coffee Bean & Tea Leaf	3470 S Sepulveda Blvd, Los Angeles, CA 90034	(310) 313-0259	http://coffeebean.com	-118.4220827	34.0196675
61	Crossroads West Cafe	4700 Western Heritage Way, Los Angeles, CA 90027	(323) 495-4334	not found	-118.281466	34.1487062
62	Starbucks Coffee	6290 Hollywood Blvd, Los Angeles, CA 90028	(323) 464-4601	http://www.starbucks.com	-118.326396	34.1014448
63	Goal Sports Cafe	8334 W 3rd St, Los Angeles, CA 90048	(323) 655-5955	http://www.goalsportscafe.com	-118.3712508	34.0726398
64	Cafe Expresso	3460 Wilshire Blvd, Los Angeles, CA 90010	(213) 738-9833	not found	-118.3000389	34.0613055
65	Anatolia Mediterrean Cafe	1942 Westwood Blvd, Los Angeles, CA 90025	(310) 446-0055	not found	-118.4346712	34.0476396
66	Dinette	1608 1/2 W Sunset Blvd, Los Angeles, CA 90026	(213) 278-0301	not found	-118.257737	34.0769138
67	Buzz Coffee	7623 Beverly Blvd, Los Angeles, CA 90036	(323) 634-7393	not found	-118.3561429	34.076356
68	Textile Coffee Shop	840 Santee St, Los Angeles, CA 90014	(213) 265-7262	not found	-118.25242	34.04046
69	Cafe Scent	3680 Wilshire Blvd, Los Angeles, CA 90010	(213) 383-9440	http://www.cafescent.net	-118.3060539	34.0614637
70	Tanner&#39s Coffee Company	11901 Santa Monica Blvd, Los Angeles, CA 90025	(310) 479-4533	not found	-118.4609639	34.0421011
71	Mamas Secret Bakery	8314 W 3rd St, Los Angeles, CA 90048	(323) 424-3482	http://www.mamassecretbakery.com	-118.370635	34.07247
72	Starbucks Coffee	3880 N Mission Rd, Los Angeles, CA 90031	(213) 741-8899	http://www.starbucks.com	-118.1974989	34.0715193
73	L&#39angolo Cafe	101 W 9th St, Los Angeles, CA 90015	(213) 622-2262	http://www.langolo-cafe.com	-118.2550664	34.0418639
74	Peet&#39s Coffee & Tea	2520 Glendale Blvd Ralph&#39s #0732 Grocery, Los Angeles, CA 90039	(323) 666-5392	http://www.peets.com	-118.2585096	34.1103407
75	Cafe Aroma	7801 Melrose Ave Ste 2, Los Angeles, CA 90046	(323) 653-2459	http://www.aromabakery.com	-118.3596229	34.084005
76	Starbucks Coffee	138 S Central Ave, Los Angeles, CA 90012	(213) 613-0393	http://www.starbucks.com	-118.2389837	34.048026
77	Le Pain Quotidien	1055 Broxton Ave, Los Angeles, CA 90024	(310) 824-7900	http://www.lepainquotidien.us	-118.4465765	34.0614156
78	Caffe Luxxe	11975 San Vicente Blvd, Los Angeles, CA 90049	(310) 394-2222	http://www.caffeluxxe.com	-118.4718797	34.0526081
79	Starbucks Coffee	120 S Los Angeles St, Los Angeles, CA 90012	(213) 687-9849	http://www.starbucks.com	-118.2426489	34.0505282
80	Peet&#39s Coffee & Tea	2120 W Main St Target #0184 Grocery, Alhambra, CA 91801	(626) 308-3290	http://www.peets.com	-118.1181199	34.0837958
81	Starbucks Coffee	859 N Highland Ave, Los Angeles, CA 90038	(323) 493-1868	http://www.starbucks.com	-118.3389206	34.0868712
82	Best Bakery And Cafe	1235 S Central Ave, Glendale, CA 91204	(818) 244-4433	http://bestbakerycafe.com	-118.2581358	34.1309072
83	Peet&#39s Coffee & Tea	4550 W Pico Blvd, Los Angeles, CA 90019	(323) 549-9586	http://www.peets.com	-118.3358682	34.0484527
84	Shreebs Coffee	3715 Corinth Ave, Los Angeles, CA 90066	(424) 260-5880	http://www.shreebscoffee.com	-118.4219503	34.0121707
85	The Hollywood Corner	1156 N Highland Ave, Los Angeles, CA 90038	(323) 463-2220	http://www.callthecorner.com	-118.3383023	34.0924183
86	Prism Coffee	1032 Crenshaw Blvd # E, Los Angeles, CA 90019	(213) 215-8336	not found	-118.3231592	34.0537072
87	Bibis Bakery and Cafe	8928 W Pico Blvd, Los Angeles, CA 90035	(310) 246-1788	http://www.bibisbakerycafe.com	-118.3867056	34.0550906
88	Seven Star Coffee	421 W 7th St, Los Angeles, CA 90014	(213) 683-9640	not found	-118.2548581	34.0463368
89	85C Bakery Cafe	61 S Fair Oaks Ave, Pasadena, CA 91105	(626) 792-8585	http://85cafe.us	-118.1508953	34.1446956
90	Verve Coffee Roasters	833 S. Spring St., Los Angeles, CA 90014	(213) 455-5991	http://www.vervecoffeeroasters.com	-118.254686	34.042511
91	Swork Coffee	2160 Colorado Blvd, Los Angeles, CA 90041	(323) 258-5600	http://www.swork.com	-118.2139044	34.1388487
92	The Coffee Company	8751 La Tijera Blvd, Los Angeles, CA 90045	(310) 645-7315	http://www.laxcoffeeco.com	-118.394536	33.957594
93	Cafe Primo	3255 Wilshire Blvd, Los Angeles, CA 90010	(213) 383-8410	http://www.iloveprimo.com	-118.293217	34.0622634
94	Winchell&#39s Donuts	1213 S Soto St, Los Angeles, CA 90023	(323) 780-4331	http://www.winchells.com	-118.2197651	34.0278364
95	Coffee Mocha	110 E 9th St, Los Angeles, CA 90079	(213) 628-3835	not found	-118.2553945	34.0404559
96	Ice Kiss	3407 W 6th St Ste 101B, Los Angeles, CA 90020	(213) 382-4776	not found	-118.295725	34.0639346
97	Rosslyn Market & Cafe	121 W 5th St, Los Angeles, CA 90013	(213) 239-0433	http://www.rosslynmarket.com	-118.2488254	34.047086
98	Di Bello Cafe	936 N Formosa Ave, Los Angeles, CA 90046	(323) 436-2900	not found	-118.3458647	34.088257
99	Peet&#39s Coffee & Tea	7100 Santa Monica Blvd Su Target #1884 Grocery, West Hollywood, CA 90046	(323) 603-0004	http://www.peets.com	-118.3617443	34.0900091
100	Cafe Emet	558 S Broadway, Los Angeles, CA 90013	(213) 688-8885	not found	-118.25163	34.046622
101	BreadBar	10250 Santa Monica Blvd, Los Angeles, CA 90067	(310) 277-3770	http://www.breadbar.net	-118.4194176	34.0596101
102	Peet&#39s Coffee & Tea	8448 Lincoln Blvd Bristol Farms Westchester Grocery, Los Angeles, CA 90045	(310) 410-0593	http://www.peets.com	-118.3875775	33.9516114
103	H Coffee House	1750 Hillhurst Ave, Los Angeles, CA 90027	(323) 660-9930	not found	-118.2871914	34.102885
104	Crepes Plus Kitchen	5223 Wilshire Blvd, Los Angeles, CA 90036	(323) 933-3403	http://crepepluskitchen.com	-118.3435951	34.0624677
105	Coral Tree Cafe	11645 San Vicente Blvd, Los Angeles, CA 90049	(310) 979-8733	http://www.coraltreecafe.com	-118.4637879	34.0542189
106	Milk and Honey	10990 Wilshire Blvd, Los Angeles, CA 90024	(310) 479-2670	http://www.milkhoneyla.com	-118.4471294	34.0574975
107	Groundwork Coffee Co	1501 N Cahuenga Blvd, Los Angeles, CA 90028	(323) 871-0143	http://groundworkcoffee.com	-118.3297713	34.0981674
108	Tom N Toms	3785 Wilshire Blvd, Los Angeles, CA 90010	(213) 389-1878	http://www.tomntoms.com	-118.3087102	34.0626101
109	Fashion Cafe	501 W Olympic Blvd # 105, Los Angeles CA, 90015, Los Angeles, CA 90015	(213) 623-5626	not found	-118.2609439	34.0434707
110	Peet&#39s Coffee & Tea	2207 W Commonwealth Ave Costco Warehouse 428 - Alhambra Grocery, Alhambra, CA 91803	(626) 289-7164	http://www.peets.com	-118.1415261	34.0779881
111	DRNK Coffee & Tea	6848 W Sunset Blvd, Los Angeles, CA 90028	(323) 469-8825	http://www.drnkcoffee.com/home	-118.3402768	34.0978056
112	29th Street Cafe	2827 S Hoover St, Los Angeles, CA 90007	(213) 746-2929	http://www.thetwonine.com	-118.284365	34.028543
113	Starbucks Coffee	919 S Central Ave # F, Glendale, CA 91204	(818) 545-4122	http://www.starbucks.com	-118.2581525	34.135058
114	Kellys Coffee & Fudge Factory	6361 Wilshire Blvd, Los Angeles, CA 90048	(323) 782-8120	not found	-118.3673048	34.0638207
115	Jubu USA Inc	3300 Garfield Ave, Commerce, CA 90040	(323) 728-7210	not found	-118.1394056	33.9855384
116	International Coffee & Tea Inc	5700 Wilshire Blvd, Los Angeles, CA 90036	(323) 456-0120	not found	-118.3535426	34.0617449
117	Hwa Sun Ji Tea & Coffee	3960 Wilshire Blvd Ste 100, Los Angeles, CA 90010	(213) 382-5302	not found	-118.3132121	34.0612803
118	Cafe 50&#39s	11623 Santa Monica Blvd, Los Angeles, CA 90025	(310) 479-1955	http://www.cafe50s.com	-118.4548464	34.0445658
119	Pr Pasadena	100 W Green St, Pasadena, CA 91105	(626) 440-0009	http://www.pasadenaoptometrycenter.com	-118.1522232	34.1444874
120	Starbucks Coffee	5151 State University Dr, Los Angeles, CA 90032	(323) 343-5370	http://www.starbucks.com	-118.1736142	34.0621924
121	Mago	3435 Wilshire Blvd # 1030, Los Angeles, CA 90010	(213) 632-4007	not found	-118.2985086	34.0622581
122	Starbucks Coffee	12100 Santa Monica Blvd, Los Angeles, CA 90025	(310) 571-9262	http://www.starbucks.com	-118.4633251	34.0402837
123	Peet&#39s Coffee & Tea	245 E Green St Gelson&#39s #20 Grocery, Pasadena, CA 91101	(626) 535-0190	http://www.peets.com	-118.1386005	34.1427587
124	The Melting Pot Cafe	1035 E Green St, Pasadena, CA 91106	(626) 796-6454	http://www.meltingpot.com	-118.1288242	34.144926
125	Starbucks Coffee	8363 W Sunset Blvd, Los Angeles, CA 90069	(323) 848-8663	http://www.starbucks.com	-118.372139	34.09575
126	Starbucks Coffee	6333 W 3rd St, Los Angeles, CA 90036	(323) 965-9594	http://www.starbucks.com	-118.3605725	34.0717892
127	Peet&#39s Coffee & Tea	3607 W Sunset Blvd Yummy Foods #4 Grocery, Los Angeles, CA 90026	(310) 876-1600	http://www.peets.com	-118.2585096	34.0796167
128	Antigua Coffee House	3400 N Figueroa St, Los Angeles, CA 90065	(323) 539-2233	http://www.antiguacoffeehouse.com	-118.2174816	34.0873672
129	Starbucks Coffee	8500 Beverly Blvd, Los Angeles, CA 90048	(310) 358-0161	http://www.starbucks.com	-118.3774933	34.0753309
130	Locali	5825 Franklin Ave, Los Angeles, CA 90028	(323) 466-1360	http://www.localiyours.com	-118.316553	34.105551
131	Ground Floor Cafe	433 S Spring St Ste 100, Los Angeles, CA 90013	(213) 624-3010	not found	-118.249225	34.048347
132	Coffee Project Paramount	456 N Fairfax Ave, Los Angeles, CA 90036	(323) 746-5480	not found	-118.3612251	34.0797855
133	Daddyo&#39s Coffee	3458 1/2 Wilshire Blvd, Los Angeles, CA 90010	(213) 382-2142	http://daddyoscoffee.com	-118.29973	34.0613621
134	Robertsen	464 N Robertson Blvd, West Hollywood, CA 90048	(310) 967-0161	not found	-118.3846095	34.0798226
135	Four Leaf Tea Room	318 E 2nd St, Los Angeles, CA 90012	(213) 621-2559	http://www.teabarfourleaf.com	-118.2413578	34.0487226
136	Seattle&#39s Best Coffee	475 S Lake Ave, Pasadena, CA 91101	(626) 304-9773	http://www.seattlesbest.com	-118.132687	34.13755
137	Espresso Profeta	1129 Glendon Ave, Los Angeles, CA 90024	(310) 208-3375	http://www.espressoprofeta.com	-118.4442262	34.0602743
138	Coffee Time	851 1/2 S Western Ave, Los Angeles, CA 90005	(213) 487-7333	not found	-118.3092352	34.0613997
139	Cafe Papparich	3948 Wilshire Blvd, Los Angeles, CA 90010	(213) 383-4100	not found	-118.3129524	34.0615364
140	Peet&#39s Coffee & Tea	800 W 1st St, Los Angeles, CA 90012	(213) 624-1245	http://www.peets.com	-118.2518556	34.056158
141	Plaza Cafe	5777 W Century Blvd Ste 104, Los Angeles, CA 90045	(310) 645-7922	http://www.plazacafe.us	-118.382847	33.9471358
142	The Coffee Bean & Tea Leaf	4034 Crenshaw Blvd, Los Angeles, CA 90008	(323) 291-4133	http://coffeebean.com	-118.3345634	34.011293
143	Cafe Appi Restaurant	661 S Harvard Blvd, Los Angeles, CA 90005	(213) 389-3448	not found	-118.304214	34.06131
144	Beard Papa Sweet Cafe	6801 Hollywood Blvd Ste 157, Los Angeles, CA 90028	(323) 462-6100	http://www.beardpapa.com	-118.3399805	34.1026077
145	Starbucks Coffee	2218 Colorado Blvd, Los Angeles, CA 90041	(323) 349-0671	http://www.starbucks.com	-118.2152027	34.1391061
146	Genesis Jesus	119 E 7th St, Los Angeles, CA 90014	(213) 265-7628	not found	-118.2507917	34.0435498
147	Peet&#39s Coffee & Tea	1854 Westwood Blvd Retail, Los Angeles, CA 90025	(310) 954-8558	http://www.peets.com	-118.4484367	34.0448583
148	Sabor Y Cultura	5625 Hollywood Blvd, Los Angeles, CA 90028	(323) 466-0481	http://saborycultura.com	-118.3124206	34.101867
149	Panini Cafe Downtown	600 W 9th St, Los Angeles, CA 90015	(213) 489-4200	http://www.mypaninicafe.com	-118.2611465	34.0451919
150	Cups Coffee	3335 S Figueroa St # E, Los Angeles, CA 90007	(213) 700-2903	not found	-118.2798382	34.0227992
151	Home Restaurant	2500 Riverside Dr, Los Angeles, CA 90039	(323) 665-0211	http://www.homerestaurantla.com	-118.2569556	34.1060891
152	Citrus On Sunset	9000 W Sunset Blvd, West Hollywood, CA 90069	(310) 858-3700	http://www.citrusonsunset.com	-118.3878421	34.090252
153	Urth Caffe	451 S Hewitt St, Los Angeles, CA 90013	(213) 797-4534	not found	-118.235426	34.041974
154	Yum-Yum Donuts	10833 National Blvd, Los Angeles, CA 90064	(310) 474-9010	http://www.yumyumdonuts.com	-118.4213749	34.03081
155	Starbucks Coffee	300 E 9th St, Los Angeles, CA 90015	(213) 489-0913	http://www.starbucks.com	-118.2534367	34.0398042
156	Cafe Bakery Ggi	2200 W Temple St, Los Angeles, CA 90026	(213) 483-6152	http://www.gigisbakeryla.com	-118.2695756	34.0704765
157	Coffee A La Mode	100 W Green St, Pasadena, CA 91105	(626) 219-6750	not found	-118.1522232	34.1444874
158	Tapioca Express	928 S Western Ave, Los Angeles, CA 90006	(213) 738-5954	http://www.tapiocaexpress.com	-118.3084223	34.0552101
159	Paris Baguette	125 N Western Ave, Los Angeles, CA 90004	(323) 467-0404	http://www.parisbaguetteusa.com	-118.309153	34.073801
160	Starbucks Coffee	1111 S Grand Ave, Los Angeles, CA 90015	(213) 749-1751	http://www.starbucks.com	-118.2625202	34.0414658
161	I Love Boba	1001 S Vermont Ave, Los Angeles, CA 90006	(213) 388-1434	not found	-118.2916434	34.0525182
162	Peet&#39s Coffee & Tea	2121 Avenue Of The Stars Ste 100, Los Angeles, CA 90067	(877) 502-2837	http://www.peets.com	-118.4132642	34.0552232
163	Tierra Mia Coffee	6706 Pacific Blvd, Huntington Park, CA 90255	(323) 589-2065	http://www.tierramiacoffee.com	-118.2249218	33.9785049
164	Peet&#39s Coffee & Tea	605 S Lake Ave, Pasadena, CA 91106	(626) 795-7413	http://www.peets.com	-118.1325426	34.1354463
165	Winchell&#39s Donuts	5301 W Sunset Blvd Ste 11, Los Angeles, CA 90027	(323) 466-2268	http://www.winchells.com	-118.305987	34.098455
166	Tom N Toms Vermont Galleria	440 S Vermont Ave, Los Angeles, CA 90020	(213) 738-9134	http://tomntoms.com	-118.2916323	34.0665764
167	Lamill Coffee Inc	112 Westmont Dr, Alhambra, CA 91801	(626) 202-0323	http://lamillcoffee.com	-118.1594016	34.0920996
168	Peet&#39s Coffee & Tea	7871 Santa Monica Blvd Whole Foods; West Hollywood Grocery, West Hollywood, CA 90046	(310) 848-4200	http://www.peets.com	-118.3617443	34.0900091
169	Ozero Tea & Desserts	131 S Central Ave, Los Angeles, CA 90012	(213) 626-8889	http://www.twinklebrownsugarlt.com	-118.2395445	34.048289
170	Cafe Dahab	1638 -1640 Sawtelle Blvd, Los Angeles, CA 90025	(310) 444-0969	http://www.cafedahab.com	-118.4479658	34.046197
171	Iris Cafe	150 N Robertson Blvd, Beverly Hills, CA 90211	(310) 657-0900	http://iriscapitalgroup.com	-118.3834054	34.068452
172	Mill N Mick Cafe	4862 Eagle Rock Blvd, Los Angeles, CA 90041	(323) 255-6455	not found	-118.2154341	34.1342092
173	Cafe Theater	419 W 7th St, Los Angeles, CA 90014	(213) 362-3333	not found	-118.2547267	34.0463879
174	Starbucks Coffee	217 N Hill St, Los Angeles, CA 90012	(213) 625-2205	http://www.starbucks.com	-118.2454138	34.0562101
175	Starbucks Coffee	1437 E Gage Ave, Los Angeles, CA 90001	(323) 585-1928	http://www.starbucks.com	-118.2489098	33.9824585
176	Peet&#39s Coffee & Tea	845 E California Blvd Pavilions #2224 Grocery, Pasadena, CA 91106	(626) 795-7413	http://www.peets.com	-118.1268976	34.1456654
177	Santa Monica Kitchen Cafe	12330 Santa Monica Blvd, Los Angeles, CA 90025	(310) 207-8888	not found	-118.4659423	34.0391524
178	Headlines Diner & Press Club	10922 Kinross Ave, Los Angeles, CA 90024	(310) 208-2424	not found	-118.4461515	34.0602402
179	Primera Taza Coffee House	1850 1/2 E 1st St, Los Angeles, CA 90033	(323) 780-3923	http://www.primerataza.com	-118.2181932	34.0466247
180	Massetti Caffe Mobile	225 S Lake Ave, Pasadena, CA 91101	(626) 319-4550	http://www.massettiespresso.com	-118.1335076	34.1419392
181	Starbucks Coffee	4177 W Washington Blvd, Los Angeles, CA 90018	(323) 734-0281	http://www.starbucks.com	-118.3304638	34.0402293
182	Coffee Tomo	11309 Mississippi Ave, Los Angeles, CA 90025	(310) 444-9390	http://www.coffeetomo.com	-118.4428739	34.0395287
183	Namsan	3613 W 6th St, Los Angeles, CA 90020	(213) 382-7777	not found	-118.3009097	34.0638063
184	Starbucks Coffee	3722 Crenshaw Blvd, Los Angeles, CA 90016	(323) 292-7911	http://www.starbucks.com	-118.3346456	34.019176
185	A Coffee Shop	5357 Santa Monica Blvd, Los Angeles, CA 90029	(323) 464-4500	http://cacaocoffeehouse.com	-118.305371	34.0907992
186	Four Cafe	2122 Colorado Blvd, Los Angeles, CA 90041	(323) 550-1988	http://www.fourcafe.net	-118.2128206	34.138876
187	Amoon Ra Restaurant & Cafe	980 N La Cienega Blvd Ste 100, West Hollywood, CA 90069	(310) 854-7777	not found	-118.375984	34.0890739
188	Cafe Noa	816 S Grand Ave, Los Angeles, CA 90017	(213) 612-0345	http://www.yelp.com/biz_photos/lPJT6FGGozk8ViagtwIL5Q?select=IeNyutz9QSp44lQg8o3_Og#e-Efa17tiUdzT7m39tahWwhttp:	-118.2580629	34.0452437
189	Post Coffee Shop	216 W 9th St, Los Angeles, CA 90015	(213) 622-7686	not found	-118.256394	34.042475
190	Roxy&#39s Cafe	8601 Lincoln Blvd, Los Angeles, CA 90045	(424) 750-9298	http://www.roxystreasures.com	-118.4199801	33.9590609
191	Peet&#39s Coffee & Tea	1751 Westwood Blvd Sprout&#39s #275 Grocery, Los Angeles, CA 90024	(310) 500-1192	http://www.peets.com	-118.4367551	34.0631451
192	Caffe Italiano	7 S 2nd St, Alhambra, CA 91801	(626) 570-8262	not found	-118.1287808	34.0939282
193	Cafe Americano	4003 Wilshire Blvd, Los Angeles, CA 90010	(213) 427-3637	not found	-118.3146338	34.0621194
194	Grindhouse Coffee	1051 Havenhurst Dr, West Hollywood, CA 90046	(323) 650-7717	not found	-118.3671358	34.0904244
195	J&#39s Cafe	700 S Western Ave # 102, Los Angeles, CA 90005	(213) 380-3003	not found	-118.3085425	34.0594652
196	Blackberry Pond Tea Co.	1572 Cardiff Ave, Los Angeles, CA 90035	(310) 286-0968	http://www.organic-teas.com	-118.3918991	34.0503031
197	Two Guns Espresso	601 S Figueroa St, Los Angeles, CA 90017	(213) 628-3445	not found	-118.2593009	34.0508366
198	House Of Sweets	317 S Broadway, Los Angeles, CA 90013	(213) 687-7367	not found	-118.2487951	34.050655
199	Andante Coffee Shop	7623 Beverly Blvd, Los Angeles, CA 90036	(323) 525-0355	not found	-118.3561429	34.076356
200	Starbucks Coffee	3111 Glendale Blvd, Los Angeles, CA 90039	(323) 667-1457	http://www.starbucks.com	-118.2629788	34.1163741
201	Garden Cafe	707 Wilshire Blvd, Los Angeles, CA 90017	(213) 627-3727	not found	-118.2569947	34.0492347
